ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E02.2,Tabák, , ,45.945188
E02.20,Tabák, , ,45.945188
E02.201,CIGARETY, , ,40.855150
E02.203,JINÉ TABÁKOVÉ VÝROBKY, , ,5.090038
E03,ODÍVÁNÍ A OBUV, , ,43.946607
E03.1,Odívání, , ,33.514793
E03.11,Oděvní materiály, , ,0.181300
E03.110,ODĚVNÍ MATERIÁLY, , ,0.181300
E03.110.01,ŠATOVKA DÁMSKÁ, 1,m2,0.181300
E03.12,Oděvy, , ,30.936379
E03.121,PÁNSKÉ ODĚVY, , ,9.660057
E03.121.01,PÁNSKÉ PYŽAMO, 1,ks,0.599819
E03.121.02,PÁNSKÁ KOŠILE - KLASICKÁ, 1,ks,0.716680
E03.121.03,PÁNSKÝ PULOVR BAVLNĚNÝ - MIKINA, 1,ks,0.681986
E03.121.04,PÁNSKÝ PULOVR BAVNĚNÝ- TRIČKO, 1,ks,1.397752
E03.121.05,PÁNSKÉ SPODNÍ PRÁDLO, 1,ks,0.747263
E03.121.06,PÁNSKÝ PULOVR, 1,ks,0.421334
E03.121.07,PÁNSKÝ OBLEK, 1,ks,0.699922
E03.121.08,PÁNSKÁ BUNDA LETNÍ, 1,ks,0.340797
E03.121.09,PÁNSKÁ BUNDA ZIMNÍ, 1,ks,0.924210
E03.121.10,PÁNSKÉ KALHOTY, 1,ks,1.262826
E03.121.11,PÁNSKÉ KALHOTY JEANSOVÉ - KLASICKÉ, 1,ks,0.734393
E03.121.12,PÁNSKÉ SPORTOVNÍ KALHOTY LYŽAŘSKÉ, 1,ks,0.133818
E03.121.13,PÁNSKÉ PONOŽKY BAVLNĚNÉ, 1,pár,0.731623
E03.121.14,PÁNSKÉ SPORTOVNÍ KALHOTY LYŽAŘSKÉ  - internetový obchod, 1,ks,0.267634
E03.122,DÁMSKÉ ODĚVY, , ,16.967091
E03.122.01,DÁMSKÉ KALHOTKY BAVLNĚNÉ, 1,ks,0.934159
E03.122.02,DÁMSKÉ PLAVKY, 1,ks,0.434460
E03.122.03,DÁMSKÁ VESTA, 1,ks,1.399156
E03.122.04,DÁMSKÝ PULOVR - DLOUHÝ RUKÁV, 1,ks,0.702354
E03.122.05,DÁMSKÁ PODPRSENKA, 1,ks,1.433163
E03.122.06,DÁMSKÝ PULOVR - KRÁTKÝ RUKÁV, 1,ks,2.036968
E03.122.07,DÁMSKÝ PLÁŠŤ ZIMNÍ, 1,ks,1.068472
E03.122.08,DÁMSKÁ BUNDA ZIMNÍ, 1,ks,1.501038
E03.122.09,DÁMSKÉ SAKO, 1,ks,0.543480
E03.122.10,DÁMSKÉ ŠATY LETNÍ, 1,ks,1.578678
E03.122.11,DÁMSKÁ HALENKA, 1,ks,1.276436
E03.122.12,DÁMSKÁ SUKNĚ, 1,ks,0.527767
E03.122.13,DÁMSKÉ KALHOTY, 1,ks,1.789414
E03.122.14,"DÁMSKÉ SAKO (KABÁTEK, BUNDA) KOŽENÉ", 1,ks,0.120156
E03.122.15,DÁMSKÉ JEANSOVÉ KALHOTY, 1,ks,0.837401
E03.122.16,DÁMSKÉ PONOŽKY BAVLNĚNÉ, 1,pár,0.477292
E03.122.17,DÁMSKÉ PUNČOCHOVÉ KALHOTY, 1,ks,0.306697
E03.123,DĚTSKÉ ODĚVY, , ,4.309231
E03.123.01,DÍVČÍ KALHOTKY BAVLNĚNÉ, 1,ks,0.288518
E03.123.02,DĚTSKÉ PYŽAMO BAVLNĚNÉ, 1,ks,0.355100
E03.123.03,DĚTSKÝ PULOVR BAVLNĚNÝ - MIKINA, 1,ks,0.575621
E03.123.04,DĚTSKÝ PULOVR BAVLNĚNÝ - TRIČKO, 1,ks,0.530052
E03.123.05,"DĚTSKÝ PULOVR BAVLNĚNÝ - TRIČKO, DLOUHÝ RUKÁV", 1,ks,0.395472
E03.123.06,KOJENECKÉ BODY, 1,ks,0.216271
E03.123.07,DĚTSKÁ BUNDA ZIMNÍ, 1,ks,0.505196
E03.123.08,DĚTSKÁ LYŽAŘSKÁ SOUPRAVA, 1,ks,0.256373
E03.123.09,DĚTSKÉ JEANSOVÉ KALHOTY, 1,ks,0.589343
E03.123.11,DĚTSKÉ PUNČOCHOVÉ KALHOTY, 1,ks,0.242293
E03.123.12,DĚTSKÉ PONOŽKY BAVLNĚNÉ, 1,pár,0.133064
E03.123.13,DÍVČÍ SUKNĚ/ŠATY, 1,ks,0.221928
E03.13,Oděvní doplňky a textilní galanterie, , ,1.839104
E03.131,OSTATNÍ ODĚVNÍ DOPLŇKY, , ,1.599604
E03.131.01,DÁMSKÝ ŠÁTEK /ŠÁLKA/, 1,ks,0.555541
E03.131.02,ČEPICE BASEBALOVÁ, 1,ks,0.384544
E03.131.03,PÁNSKÉ RUKAVICE KOŽENÉ, 1,pár,0.659519
E03.132,TEXTILNÍ GALANTERIE, , ,0.239500
E03.132.01,NITĚ ŠICÍ, 500,m,0.239500
E03.14,"Čištění, opravy a půjčování oděvů", , ,0.558010
E03.141,ČIŠTĚNÍ ODĚVŮ, , ,0.155908
E03.141.01,ČIŠTĚNÍ PÁNSKÉHO OBLEKU, 1,služba,0.155908
E03.142,OPRAVY A PŮJČOVÁNÍ ODĚVŮ, , ,0.402102
E03.142.01,PŮJČOVÁNÍ SVATEBNÍCH ŠATŮ, 3,dny,0.402102
E03.2,Obuv včetně oprav, , ,10.431814
E03.21,Obuv, , ,9.948262
E03.211,PÁNSKÁ OBUV, , ,3.035711
E03.211.01,PÁNSKÁ VYCHÁZKOVÁ OBUV CELOROČNÍ KOŽENÁ, 1,pár,0.841803
E03.211.02,PÁNSKÁ VYCHÁZKOVÁ OBUV LETNÍ KOŽENÁ, 1,pár,0.428946
E03.211.03,PÁNSKÁ VYCHÁZKOVÁ OBUV ZIMNÍ KOŽENÁ, 1,pár,0.649339
E03.211.04,PÁNSKÁ OBUV PRO VOLNÝ ČAS - KOŽENÁ, 1,pár,0.371874
E03.211.05,PÁNSKÁ OBUV PRO VOLNÝ ČAS - KOŽENÁ  - internetový obchod, 1,pár,0.743749
E03.212,DÁMSKÁ OBUV, , ,5.318022
E03.212.01,DÁMSKÁ VYCHÁZKOVÁ OBUV CELOROČNÍ KOŽENÁ, 1,pár,1.675709
E03.212.02,DÁMSKÁ VYCHÁZKOVÁ OBUV LETNÍ KOŽENÁ, 1,pár,1.076899
E03.212.03,DÁMSKÁ VYCHÁZKOVÁ OBUV ZIMNÍ KOŽENÁ, 1,pár,1.427357
E03.212.04,DÁMSKÁ OBUV PRO VOLNÝ ČAS - TEXTILNÍ, 1,pár,0.925336
E03.212.05,DÁMSKÁ OBUV DOMÁCÍ, 1,pár,0.212721
E03.213,DĚTSKÁ OBUV, , ,1.594529
E03.213.01,DĚTSKÁ OBUV VYCHÁZKOVÁ CELOROČNÍ KOŽENÁ, 1,pár,0.305991
E03.213.02,DĚTSKÁ OBUV VYCHÁZKOVÁ LETNÍ KOŽENÁ, 1,pár,0.253849
E03.213.03,DĚTSKÁ OBUV VYCHÁZKOVÁ ZIMNÍ KOŽENÁ, 1,pár,0.189749
E03.213.04,DĚTSKÁ OBUV PRO VOLNÝ ČAS - KOŽENÁ, 1,pár,0.477082
E03.213.05,DĚTSKÁ OBUV DOMÁCÍ TEXTILNÍ, 1,pár,0.127562
E03.213.06,DĚTSKÁ OBUV ZIMNÍ - SNĚHULE, 1,pár,0.240296
E03.22,Opravy a půjčování obuvi, , ,0.483552
E03.220,OPRAVY A PŮJČOVÁNÍ OBUVI, , ,0.483552
