ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E09.2,Ost.výrobky dlouh.spotřeby určené pro rekreaci a kulturu vč.oprav, , ,1.634522
E09.22,Hudební nástroje a výrobky dl. spotřeby pro rekreaci uvnitř, , ,1.634522
E09.221,HUDEBNÍ NÁSTROJE, , ,1.634522
E09.221.01,KYTARA ŠPANĚLSKÁ, 1,ks,1.634522
E09.3,Ost. předměty pro rekreaci a volný čas vč. zahrad. a dom. zvířat, , ,18.659452
E09.31,"Hry, hračky a potřeby pro zájmovou činnost", , ,3.832712
E09.311,HRY A POTŘEBY PRO ZÁJMOVOU ČINNOST, , ,0.841949
E09.311.02,FOTOALBUM, 1,ks,0.252585
E09.311.04,HRA PRO HERNÍ KONZOLI, 1,ks,0.202068
E09.311.05,HRA PRO HERNÍ KONZOLI - internetový obchod, 1,ks,0.387296
E09.312,HRAČKY A ZÁBAVNÍ PŘEDMĚTY, , ,2.990763
E09.312.01,PANENKA Z PVC, 1,ks,0.455710
E09.312.02,AUTO NA BATERII, 1,ks,0.432827
E09.312.03,AUTO MECHANICKÉ, 1,ks,0.306039
E09.312.04,STAVEBNICE TYPU LEGO, 1,ks,0.286179
E09.312.05,SKLÁDANKA PUZZLE, 1,ks,0.351805
E09.312.06,PLYŠOVÁ HRAČKA, 1,ks,0.292921
E09.312.07,KOČÁREK PRO PANENKU, 1,ks,0.117169
E09.312.08,DĚTSKÝ MÍČ, 1,ks,0.175752
E09.312.09,STAVEBNICE TYPU LEGO - internetový obchod, 1,ks,0.572361
E09.32,"Zařízení pro sport, kempink a rekreaci ve volné přírodě vč. oprav", , ,2.566174
E09.321,SPORTOVNÍ POTŘEBY, , ,2.081629
E09.321.01,LYŽAŘSKÉ SJEZDOVÉ BOTY, 1,pár,0.436767
E09.321.02,MÍČ NA ODBÍJENOU, 1,ks,0.087879
E09.321.03,RYBÁŘSKÝ PRUT, 1,ks,0.073073
E09.321.04,SPECIÁLNÍ OBUV NA FOTBAL, 1,pár,0.378022
E09.321.05,LYŽAŘSKÝ SET, 1,pár,0.387096
E09.321.06,ROTOPED, 1,ks,0.093610
E09.321.07,CYKLISTICKÁ PŘILBA, 1,ks,0.625182
E09.322,POTŘEBY PRO KEMPINK A REKREACI VE VOLNÉ PŘÍRODÉ, , ,0.484545
E09.322.01,SPORTOVNÍ TLUMOK, 1,ks,0.484545
E09.33,"Zahrady, rostliny a květiny", , ,4.831027
E09.331,VÝROBKY PRO ZAHRADU, , ,1.452200
E09.331.01,ZEM PRO POKOJOVÉ ROSTLINY, 5,l,0.831239
E09.331.02,UMĚLOHMOTNÝ TRUHLÍK NA KVĚTINY, 1,ks,0.620961
E09.332,ROSTLINY A KVĚTINY, , ,3.378827
E09.332.01,KARAFIÁT VELKOKVĚTÝ, 1,ks,0.337883
E09.332.02,RŮŽE VELKOKVĚTÁ, 1,ks,0.844707
E09.332.03,KVĚTINA POKOJOVÁ, 1,ks,0.844707
E09.332.04,GERBERA VELKOKVĚTÁ, 1,ks,0.337883
E09.332.05,CHRYZANTÉMA ŘEZANÁ, 1,ks,0.675764
E09.332.06,ZAHRADNÍ KEŘE (RŮŽE VELKOKVĚTÁ), 1,ks,0.337883
E09.34,Domácí zvířata a potřeby pro jejich chov, , ,5.837332
E09.341,NÁKUP DOMÁCÍCH ZVÍŘAT, , ,0.381105
E09.341.01,PAPOUŠEK VLNKOVANÝ, 1,ks,0.381105
E09.342,POTŘEBY PRO DOMÁCÍ ZVÍŘATA, , ,5.456227
E09.35,Veterinární a ostatní služby pro domácí zvířata, , ,1.592207
E09.350,VETERINÁRNÍ A OSTATNÍ SLUŽBY PRO DOMÁCÍ ZVÍŘATA, , ,1.592207
E09.350.01,SLUŽBA ZVĚROLÉKAŘE, 1,výkon,1.592207
E09.4,Rekreační a kulturní služby, , ,22.254300
E09.41,Rekreační a sportovní služby, , ,7.765226
E09.411,REKREAČNÍ A SPORTOVNÍ SLUŽBY - PASIVNÍ ÚČAST, , ,0.592998
E09.411.01,VSTUPENKA NA FOTBALOVÉ UTKÁNÍ, 1,průměr,0.592998
E09.412,REKREAČNÍ A SPORTOVNÍ SLUŽBY - AKTIVNÍ ÚČAST, , ,7.172228
E09.412.01,VSTUPENKA NA LYŽAŘSKÝ VLEK, 1,ks,1.826833
E09.412.02,POPLATEK ZA CVIČENÍ, 1,hodina,1.787407
E09.412.03,VSTUPENKA DO KRYTÉHO BAZÉNU, 1,vstupenka,1.556620
E09.412.04,TANEČNÍ KURZ PRO MLÁDEŽ, 1,kurzovné,0.444749
E09.412.05,PRONÁJEM KURTU NA SQUASH, 1,hodina,0.889497
E09.412.06,PŮJČOVNÉ ZA LYŽE, 1,vikend,0.667122
E09.42,Kulturní služby, , ,14.489074
E09.421,"KINA, DIVADLA, KONCERTY", , ,3.079155
E09.421.01,VSTUPENKA DO KINA, 1,průměr,0.797153
E09.421.02,VSTUPENKA DO DIVADLA, 1,průměr,1.110049
E09.421.03,VSTUPENKA NA KONCERT, 1,průměr,0.758833
E09.421.04,VSTUPENKA NA DISKOTÉKU, 1,průměr,0.413120
E09.422,"MUZEA, KNIHOVNY, ZOOLOGICKÉ ZAHRADY", , ,1.232145
E09.422.01,VSTUPENKA DO MUZEA, 1,vstupenka,1.232145
E09.423,POPLATKY ZA ROZHLASOVÉ A TELEVIZNÍ VYSÍLÁNÍ, , ,9.648267
E09.423.01,ROZHLASOVÝ POPLATEK MĚSÍČNÍ, ,poplatek,1.755985
E09.423.02,TELEVIZNÍ POPLATEK MĚSÍČNÍ, ,poplatek,5.321019
E09.423.03,KABELOVÝ TELEVIZNÍ PŘÍJEM, ,měsíčně,2.571263
E09.425,FOTOGRAFICKÉ SLUŽBY, , ,0.529507
E09.425.01,DIGITÁLNÍ FOTOGRAFIE, 10,ks,0.529507
E09.5,"Noviny, knihy a papírenské zboží", , ,6.036340
E09.51,Knihy, , ,2.192287
E09.511,BELETRIE, , ,1.700561
E09.511.01,KNIHA PRO DĚTI DO 9 LET, 1,průměr,0.271479
E09.511.02,KRÁSNÁ LITERATURA DOMÁCÍ AUTOR, 1,průměr,0.192934
E09.511.03,KRÁSNÁ LITERATURA SVĚTOVÁ, 1,průměr,0.385868
E09.511.04,KNIHA PRO DĚTI DO 9 LET - internetový obchod, 1,ks,0.271479
E09.511.05,KRÁSNÁ LITERATURA DOMÁCÍ AUTOR - internetový obchod, 1,ks,0.192934
E09.511.06,KRÁSNÁ LITERATURA SVĚTOVÁ - internetový obchod, 1,ks,0.385867
E09.512,UČEBNICE, , ,0.231760
E09.512.01,UČEBNICE MATEMATIKY, 1,ks,0.077269
E09.512.02,ZÁKLADNÍ UČEBNICE PRO HLAVNÍ SPECIALIZACI, 1,ks,0.154491
E09.513,OSTATNÍ KNIHY KROMĚ BELETRIE A UČEBNIC, , ,0.259966
E09.513.02,ENCYKLOPEDIE, 1,ks,0.078846
E09.513.03,KAPESNÍ SLOVNÍK, 1,ks,0.181120
E09.52,Noviny a časopisy, , ,1.549851
E09.521,NOVINY , , ,0.766484
E09.521.01,MLADÁ FRONTA DNES, ,měsíčně,0.144255
E09.521.02,BLESK, ,měsíčně,0.339415
E09.521.03,PRÁVO, ,měsíčně,0.101806
E09.521.04,LIDOVÉ NOVINY, ,měsíčně,0.037304
E09.521.05,REGIONÁLNÍ DENÍK, ,měsíčně,0.143704
E09.522,MAGAZÍNY A PERIODICKÉ ČASOPISY, , ,0.783367
E09.522.01,ABC, 1,ks,0.031448
E09.522.02,CHIP, 1,ks,0.032388
E09.522.03,STORY, 1,ks,0.084532
E09.522.04,TV MAGAZÍN, 1,ks,0.236394
E09.522.05,VLASTA, 1,ks,0.074856
E09.522.06,KVĚTY, 1,ks,0.083726
E09.522.07,REFLEX, 1,ks,0.132376
E09.522.08,TÝDENÍK TELEVIZE, 1,ks,0.107647
E09.53,Ostatní tiskoviny, , ,0.281208
E09.530,OSTATNÍ TISKOVINY, , ,0.281208
E09.530.01,POHLEDNICE BAREVNÁ, 10,ks,0.090787
E09.530.02,KALENDÁŘ STOLNÍ, 1,ks,0.099634
E09.530.03,BLAHOPŘÁNÍ K NAROZENINÁM, 1,ks,0.090787
E09.54,"Papírenské zboží, potřeby k psaní a kreslení", , ,2.012994
E09.541,PAPÍRENSKÉ ZBOŽÍ, , ,0.601837
E09.549,OSTATNÍ PAPÍRENSKÉ ZBOŽÍ A POTŘEBY K PSANÍ A KRESLENÍ, , ,1.411157
E09.549.01,PASTELKY, 1,bal.,0.310562
E09.549.02,KULIČKOVÉ PERO, 1,ks,0.663157
E09.549.03,ŠKOLNÍ PENÁL, 1,ks,0.277503
E09.549.04,NŮŽKY PRO DOMÁCNOST, 1,ks,0.159935
E09.6,Dovolená s komplexními službami, , ,18.742320
E09.60,Dovolená s komplexními službami, , ,18.742320
E09.601,DOVOLENÁ S KOMPLEX. SLUŽBAMI V TUZEMSKU, , ,3.530030
E09.601.04,SUBI ORGANIZOVANÁ DOVOLENÁ A ZÁJEZDY V TUZEMSKU, , ,3.530030
E09.602,DOVOLENÁ S KOMPLEX. SLUŽBAMI V ZAHRANIČÍ, , ,15.212290
E09.602.18,SUBI ORGANIZOVANÁ DOVOLENÁ A ZÁJEZDY V ZAHRANIČÍ, , ,15.212290
E10,VZDĚLÁVÁNÍ, , ,6.175473
E10.1,Preprimární a primární vzdělávání, , ,1.206490
E10.10,Preprimární a primární vzdělávání, , ,1.206490
E10.101,PREPRIMÁRNÍ VZDĚLÁVÁNÍ, , ,1.206490
E10.101.01,ÚHRADA V MATEŘSKÉ ŠKOLE, ,měsíčně,1.206490
E10.2,Sekundární vzdělávání, , ,0.908434
E10.20,Sekundární vzdělávání, , ,0.908434
E10.200,SEKUNDÁRNÍ VZDĚLÁVÁNÍ, , ,0.908434
E10.200.01,ŠKOLNÉ NA SOUKROMÉM GYMNÁZIU, ,ročně,0.305665
E10.200.02,ŠKOLNÉ V SOUKROMÉ STŘEDNÍ ŠKOLE S MATURITOU, ,ročně,0.602769
E10.3,Postsekundární vzdělávání nižší než terciární, , ,0.032283
E10.30,Postsekundární vzdělávání nižší než terciární, , ,0.032283
E10.300,POSTSEKUNDÁRNÍ VZDĚLÁVÁNÍ NIŽŠÍ NEŽ TERCIÁRNÍ, , ,0.032283
E10.300.01,POMATURITNÍ STUDIUM, ,ročně,0.032283
E10.4,Terciární vzdělávání, , ,1.688861
E10.40,Terciární vzdělávání, , ,1.688861
E10.400,TERCIÁRNÍ VZDĚLÁVÁNÍ, , ,1.688861
E10.400.01,ŠKOLNÉ NA VYŠŠÍ ODBORNÉ ŠKOLE, ,ročně,0.140473
E10.400.02,POPLATEK ZA PŘIJÍMACÍ ŘÍZENÍ NA VYSOKOU ŠKOLU, ,poplatek,0.052853
E10.400.03,ŠKOLNÉ NA VEŘEJNÉ VYSOKÉ ŠKOLE, 6,měsíců,0.302014
E10.400.04,ŠKOLNÉ NA SOUKROMÉ VYSOKÉ ŠKOLE, 6,měsíců,1.193521
